"","FirstName","LastName","Team","GP","GS","AVG","OPS","AB","R","H","X2B","X3B","HR","RBI","TB","SLG","BB","HBP","SO","GDP","OBP","SF","SH","SB","SB_ATT"
"383","COLE","FLEMING","NJIT","49","46",0.22,0.549,182,19,40,6,0,2,14,52,0.286,10,1,49,1,0.263,1,1,"6","6"
"384","JARED","DONNELLY","NJIT","53","53",0.218,0.672,179,25,39,5,1,7,36,67,0.374,18,5,73,0,0.298,6,8,"3","4"
"385","CONOR","KELLY","UMass Lowell","39","23",0.193,0.525,83,12,16,3,0,0,11,19,0.229,12,1,22,1,0.296,2,0,"1","1"
"386","NORIEGA","GAVIN","Bryant","46","41",0.19,0.579,158,28,30,7,0,3,23,46,0.291,20,3,24,3,0.288,3,0,"4","4"
"387","DEVAN","KRUZINSKI","UAlbany","38","33",0.185,0.486,119,12,22,5,1,0,20,29,0.244,8,2,19,2,0.242,3,1,"1","1"
"388","OWEN","SILLIMAN","UAlbany","35","29",0.185,0.501,108,12,20,1,1,1,17,26,0.241,12,0,40,3,0.26,3,1,"3","4"
"389","JUSITN","HURD","UAlbany","31","18",0.172,0.62,64,11,11,5,0,2,10,22,0.344,9,1,28,1,0.276,2,1,"1","1"
"390","LOGAN","HASKELL","Binghamton","37","23",0.167,0.469,96,19,16,2,0,0,10,18,0.188,12,4,17,1,0.281,2,4,"3","4"
"391","RYAN","CESARINI","Saint Joseph's","52","52",0.392,1.088,199,49,78,17,2,8,56,123,0.618,26,7,31,2,0.47,4,3,"12","13"
"392","RYAN","WILSON","Davidson","54","54",0.387,1.27,194,70,75,17,0,17,54,143,0.737,33,30,23,3,0.533,2,0,"8","11"
"393","EDDIE","MICHELETTI","George Washington","55","55",0.384,1.023,224,46,86,18,2,6,48,126,0.563,28,6,19,5,0.46,3,1,"8","8"
"394","JOHNNY","HIPSMAN","Richmond","54","54",0.381,1.093,226,50,86,25,1,12,55,149,0.659,22,3,20,1,0.434,5,0,"9","10"
