FirstName,LastName,Team,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,
Camden,Hill,AU............,.200,10-4,15,1,3,0,0,0,2,3,.200,4,0,5,2,.368,0,0,0-0,
Juju,Stevens,MO...........,.198,30-19,81,5,16,7,0,3,15,32,.395,1,1,26,3,.217,0,0,0-1,
Jayson,Jones,AR...........,.196,20-13,46,12,9,2,0,2,6,17,.370,14,2,15,3,.403,0,0,2-2,
Brody,Wortham,AU..........,.194,18-4,31,6,6,0,0,0,5,6,.194,3,2,5,0,.306,0,0,0-0,
Dylan,Leach,MO............,.193,37-32,114,14,22,3,0,4,15,37,.325,12,7,30,1,.306,1,0,1-2,
Hudson,Polk,AR............,.190,26-19,58,10,11,1,0,2,7,18,.310,8,6,16,3,.342,1,0,0-2,
Austen,Jaslove,UT.........,.189,24-12,37,8,7,2,0,0,8,9,.243,4,0,6,1,.268,0,1,1-1,
Kendal,Ewell,UK...........,.189,14-12,37,3,7,1,0,0,1,8,.216,7,1,17,0,.333,0,1,1-2,
Richie,Schiekofer,UF......,.189,38-11,53,13,10,1,0,1,5,14,.264,3,2,10,2,.259,0,0,2-2,
Josh,Stinson,UG...........,.188,24-7,32,6,6,2,0,1,6,11,.344,2,1,4,2,.257,0,0,0-0,
Rene,Lastres,UF...........,.188,11-3,16,3,3,0,1,0,3,5,.313,1,1,7,1,.278,0,0,0-0,
Ben,Nippolt,LS............,.186,51-13,43,9,8,1,0,0,7,9,.209,10,3,9,1,.362,2,2,1-2,
Jaxson,West,UA............,.185,20-4,27,6,5,1,0,1,5,9,.333,7,1,4,0,.371,0,0,0-0,
Hunter,Grimes,AR..........,.185,19-5,27,9,5,0,1,0,7,7,.259,9,0,14,0,.368,2,2,0-1,
Max,Kaufer,AM.............,.183,46-36,104,15,19,1,0,1,12,23,.221,27,0,30,1,.343,3,0,5-5,
Parker,Rowland,AR.........,.182,46-42,143,21,26,2,0,2,19,34,.238,21,2,57,5,.293,1,1,0-1,
Will,Tippett,SC...........,.182,47-34,110,16,20,1,1,3,15,32,.291,19,1,47,1,.305,1,9,4-6,
Cal,Stark,UT..............,.180,53-43,111,19,20,4,0,5,17,39,.351,19,15,50,0,.365,3,2,1-1,
Reagan,Burford,UM.........,.180,32-14,50,10,9,3,0,1,7,15,.300,6,1,20,1,.276,1,1,2-3,
Chase,Stanke,UK...........,.179,31-20,67,11,12,3,0,1,11,18,.269,14,8,19,0,.382,0,2,0-0,
Nate,Larue,AU.............,.177,48-45,141,17,25,2,0,5,15,42,.298,18,3,58,1,.282,1,1,4-6,
Ryan,Guardino,UA..........,.167,11-1,6,4,1,1,0,0,0,2,.333,4,0,4,0,.500,0,0,0-0,
Seibert,Von,MS...........,.167,6-0,6,0,1,0,0,0,0,1,.167,2,0,3,0,.375,0,0,0-0,
Garrett,Spikes,UG.........,.160,16-5,25,2,4,2,0,0,4,6,.240,2,2,8,0,.267,1,0,0-0,
Mike,Bello,AU.............,.156,16-5,32,4,5,0,0,0,3,5,.156,2,0,9,0,.200,1,0,0-0,
Brody,Moss,AU.............,.150,15-7,20,4,3,0,0,0,5,3,.150,6,1,5,0,.357,1,0,0-0,
Cam,Chick,MO..............,.150,42-34,107,25,16,2,0,0,11,18,.168,25,4,41,2,.331,0,3,8-10,
Gavin,Guidry,LS...........,.143,12-0,7,4,1,0,0,0,1,1,.143,1,1,4,0,.333,0,0,0-0,
Judd,Utermark,UM..........,.135,17-9,37,8,5,0,0,2,6,11,.297,1,1,17,1,.179,0,0,1-1,
Isaiah,Byars,UK...........,.111,11-6,27,2,3,1,0,0,2,4,.148,2,0,8,0,.167,1,0,1-1,
Mason,Neville,AR..........,.111,19-7,27,8,3,1,0,0,2,4,.148,4,1,20,0,.250,0,1,0-0,
Mic,Paul,LS...............,.111,12-0,9,5,1,0,0,0,0,1,.111,1,0,3,0,.200,0,0,0-0,
Justin,Thomas,UG..........,.103,25-8,29,7,3,1,0,1,5,7,.241,7,4,15,1,.350,0,0,3-4,
Tywone,Malone,UM..........,.100,6-2,10,3,1,0,0,1,1,4,.400,2,0,6,0,.250,0,0,0-0,
Josh,Stevenson,LS.........,.100,24-0,10,9,1,0,0,0,1,1,.100,0,0,4,0,.100,0,0,0-0,
Kevin,Madden,SC...........,.100,11-0,10,1,1,0,0,1,3,4,.400,1,0,2,0,.182,0,0,0-0,
Jack,Merrifield,LS........,.000,27-2,10,2,0,0,0,0,4,0,.000,3,1,1,3,.250,2,0,0-1,
